               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.035093,            0.030066,           0.0036484,             0.93769,             0.80909,             0.92267,             0.57432,            0.037474,            0.025786,            0.005975,            0.007426,            0.007426,            0.007426
                  54,            0.034629,            0.031758,           0.0037058,             0.91052,             0.85377,             0.92772,             0.58025,            0.036899,            0.025587,           0.0052352,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034713,            0.030183,           0.0035851,             0.88941,             0.85358,             0.92263,             0.58973,            0.037228,            0.024994,           0.0073796,            0.007327,            0.007327,            0.007327
                  56,             0.03432,            0.030271,           0.0040088,             0.90493,             0.84175,             0.93446,             0.59584,            0.037038,            0.025396,           0.0052293,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033486,            0.028537,           0.0036838,             0.91648,             0.85054,              0.9225,             0.57842,            0.037649,            0.025077,           0.0048286,            0.007228,            0.007228,            0.007228
                  58,            0.032134,            0.029118,           0.0033546,             0.92964,             0.88905,             0.94926,             0.59098,            0.036624,            0.024426,           0.0043493,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033626,            0.028383,           0.0035108,             0.92304,             0.86974,             0.93384,              0.5489,            0.039351,             0.02464,           0.0046433,            0.007129,            0.007129,            0.007129
                  60,            0.033441,            0.029661,           0.0037101,             0.93516,             0.85062,             0.92499,             0.60657,            0.037344,            0.026065,           0.0062517,           0.0070795,           0.0070795,           0.0070795
                  61,            0.033842,            0.030075,           0.0037909,               0.921,             0.87198,             0.93566,             0.59129,            0.037607,            0.026332,           0.0057069,             0.00703,             0.00703,             0.00703
                  62,            0.033373,             0.03046,           0.0033757,             0.92069,             0.89479,             0.93368,             0.59931,            0.036931,            0.025077,           0.0058766,           0.0069805,           0.0069805,           0.0069805
